               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066456,            0.019243,                   0,             0.64833,              0.8174,             0.67586,             0.25599,            0.039052,           0.0082309,                   0,           0.0032768,           0.0032768,            0.070508
                   1,            0.041433,            0.011985,                   0,             0.99829,             0.99715,               0.995,             0.50468,            0.025199,           0.0039804,                   0,           0.0065884,           0.0065884,            0.040487
                   2,            0.033969,           0.0088515,                   0,             0.99816,                   1,             0.99499,             0.68196,            0.016808,           0.0041095,                   0,           0.0098779,           0.0098779,            0.010443
                   3,            0.028223,           0.0075861,                   0,             0.99982,                   1,               0.995,             0.73088,            0.016537,           0.0033774,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.024254,           0.0069205,                   0,             0.99872,                   1,               0.995,               0.747,            0.012961,           0.0038057,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.021863,           0.0065314,                   0,              0.9998,                   1,               0.995,             0.78615,            0.012554,           0.0026461,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.020437,           0.0061687,                   0,             0.99983,                   1,               0.995,             0.88648,           0.0079748,           0.0023323,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.019603,           0.0059811,                   0,              0.9999,                   1,               0.995,             0.83637,            0.011282,           0.0024887,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.01882,           0.0058867,                   0,             0.99981,                   1,               0.995,             0.88319,           0.0077267,           0.0023087,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.018364,           0.0056965,                   0,             0.99852,                   1,               0.995,             0.84032,            0.010548,           0.0024031,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.017304,           0.0056111,                   0,             0.99991,                   1,               0.995,             0.90828,           0.0076457,           0.0021368,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.016714,            0.005482,                   0,             0.99847,                   1,               0.995,             0.87742,           0.0083789,           0.0022117,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.016922,            0.005397,                   0,             0.99991,                   1,               0.995,             0.89212,           0.0081605,           0.0021566,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.01651,           0.0054351,                   0,             0.99973,                   1,               0.995,             0.86919,           0.0083698,           0.0021368,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.016219,           0.0053359,                   0,              0.9999,                   1,               0.995,             0.89246,           0.0080807,           0.0021293,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.015851,           0.0052514,                   0,              0.9999,                   1,               0.995,             0.90042,           0.0076863,           0.0020887,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.015731,           0.0051566,                   0,             0.99991,                   1,               0.995,             0.90301,           0.0072841,           0.0020362,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.015248,           0.0050841,                   0,              0.9999,                   1,               0.995,             0.91216,           0.0068439,           0.0020287,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.014712,           0.0050973,                   0,             0.99988,                   1,               0.995,              0.8986,           0.0074977,           0.0020588,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.015084,           0.0050283,                   0,              0.9999,                   1,               0.995,              0.8463,           0.0093673,           0.0022126,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.014997,           0.0049776,                   0,              0.9999,                   1,               0.995,             0.91103,           0.0068037,           0.0019371,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.014336,           0.0049243,                   0,             0.99991,                   1,               0.995,             0.89446,           0.0078606,            0.002065,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.014472,           0.0049175,                   0,             0.99991,                   1,               0.995,             0.91773,           0.0072105,           0.0019328,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.014218,           0.0048888,                   0,             0.99991,                   1,               0.995,             0.91821,           0.0067006,           0.0019723,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.014428,            0.004969,                   0,             0.99991,                   1,               0.995,             0.86543,           0.0096534,           0.0020964,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.013852,           0.0048656,                   0,             0.99992,                   1,               0.995,              0.9041,           0.0074874,           0.0019937,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.014239,           0.0049129,                   0,             0.99988,                   1,               0.995,             0.86583,           0.0087546,           0.0021356,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.013704,           0.0047827,                   0,             0.99992,                   1,               0.995,             0.91047,            0.007388,           0.0020757,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.013795,           0.0047794,                   0,             0.99991,                   1,               0.995,             0.91029,            0.007158,           0.0020301,                   0,            0.009109,            0.009109,            0.009109
